PROCESSDATA	2411AIC90201 Data	yyyy-MM-dd HH:mm:ss
8	10	2024-10-01 21:55:00	751
tagname	2411AIC90201.MV	2411AIC90201.PV	2411AIC90201.SV	2411AIC90201.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	洗涤塔底循环泵P151入口_OP	洗涤塔底循环泵P151入口_PV	洗涤塔底循环泵P151入口_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=0.474340190044384	fsMin=0	fsGridNum=10	fdMax=0.474340190044384tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-10-01 21:55:00	1.8907209379999999	7.338116183	7.32369661	1	0	0	0	0
2024-10-01 21:55:10	1.89019287	7.339917007428571	7.32369661	1	0	0	0	0
2024-10-01 21:55:20	1.8894521800000001	7.342370608	7.32369661	1	0	0	0	0
2024-10-01 21:55:30	1.88891817475	7.341769552	7.32369661	1	0	0	0	0
2024-10-01 21:55:40	1.889569186	7.340076111111111	7.32369661	1	0	0	0	0
2024-10-01 21:55:50	1.8896130599999998	7.340289858	7.32369661	1	0	0	0	0
2024-10-01 21:56:00	1.889414606857143	7.338830142857143	7.32369661	1	0	0	0	0
2024-10-01 21:56:10	1.8900688352	7.3382570512	7.32369661	1	0	0	0	0
2024-10-01 21:56:20	1.8897216295918366	7.339869	7.32369661	1	0	0	0	0
2024-10-01 21:56:30	1.889300754	7.340149244	7.32369661	1	0	0	0	0
2024-10-01 21:56:40	1.889215331	7.3398978	7.32369661	1	0	0	0	0
2024-10-01 21:56:50	1.8892550259999998	7.339196300499999	7.32369661	1	0	0	0	0
2024-10-01 21:57:00	1.889227492	7.339210908	7.32369661	1	0	0	0	0
2024-10-01 21:57:10	1.88892972	7.339765457	7.32369661	1	0	0	0	0
2024-10-01 21:57:20	1.88871869	7.3401843428571425	7.32369661	1	0	0	0	0
2024-10-01 21:57:30	1.8884370694871795	7.340364662820512	7.32369661	1	0	0	0	0
